Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
Nana,5500000,78959999,Riyad ,Nana is a grocery shopping and delivery platform that offers grocery and other home essentials delivery.,2020,2,Seed,Undisclosed,6,12,"Delivery, E-Commerce, Grocery, Predictive Analytics",Food Delivery  ,42000000000,376,,,561,58%,80887,-30%,servival
Retailo Technologies,,45000000,Riyad ,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain in the MENAP region.,2020,3,Early Stage Venture,Series A,4,13,"B2B, E-Commerce, Marketplace, Predictive Analytics, Retail",E-Commerce,13000000000,751,,,652,66%,22598,1357%,servival
Lean Technologies,5500000,36500000,Riyad ,Lean Technologies is a FinTech startup that develops a platform to provide access to consumer financial data.,2019,3,Early Stage Venture,Series A,4,13,"Financial Services, FinTech, Information Technology, Predictive Analytics",Financial Services,13000000000,31,,,102,87%,6677,-45%,servival
Foodics,5500000,27996075,Riyad ,"Foodics is a restaurant management system that manages sales, transactions, inventory, employee schedules, and customer relationships.",2014,2,Early Stage Venture,Series B,4,14,"Information Services, Management Information Systems, Predictive Analytics, Restaurants, Software",Artificial Intelligence,13000000000,176,,,714,22%,364886,-35%,exited
Sary,300000000,111957478,Riyad ,Sary is a B2B marketplace connecting small businesses with wholesalers and lenders to procure supply efficiently.,2018,2,Late Stage Venture,Series C,4,12,"B2B, E-Commerce, Marketplace, Predictive Analytics, Wholesale",E-Commerce,13000000000,376,,,2567,40%,25286,258%,servival
Tamara,,116000000,Riyad ,"Tamara offers a buy now, pay later platform that enables customers to pay in installments.",2020,3,Early Stage Venture,Series A,4,9,"Financial Services, FinTech, Mobile Payments, Payments, Predictive Analytics",Financial Services,13000000000,76,,,347,37%,143987,74%,servival
Jahez Int'l Co.,1000000,36500000,Riyad ,Jahez mobile application is a food delivery platform that serves end users with meal orders from restaurants.,2016,1,Early Stage Venture,Series A,2,1,"Artificial Intelligence, E-Commerce, Food Delivery, Service Industry",Food&Beverage ,42000000000,376,,,1807,37%,132477,-77%,servival
Lucidya,5500000,7250000,Riyad ,Enterprise B2B SaaS company that aims to reshape customer experience in the MENA region leveraging proprietary AI & NLP technologies.,2016,4,Early Stage Venture,Series B,2,7,"Analytics, Artificial Intelligence, Machine Learning, Social CRM, Social Media Management",Artificial Intelligence,13000000000,76,,,180,80%,10869,171%,servival
Unifonic,,146000000,Riyad ,Unifonic is a customer engagement platform that unifies communication channels to enable organizations to delight customers.,2006,2,Early Stage Venture,Series B,2,7,"Artificial Intelligence, Information Technology, Messaging, PaaS, SaaS, SMS",Artificial Intelligence,13000000000,176,,,449,73%,53960,103%,servival
Noon - The Social Learning Platform,5500000,21600000,Riyad ,Noon (Noon Academy previously) is loved by 10+ million students in 8 countries.Our goals is to impact 50 million students by 2023.,2013,2,Early Stage Venture,Series C,2,8,"E-Learning, EdTech, Education, Predictive Analytics, Tutoring",EduTech,4760000000,176,,,2092,77%,486112,114%,servival
Zid ,1000000,8933208,Riyad ,Zid is an e-commerce in a box - solution that any retailer can use to start their eRetail.,2017,2,Early Stage Venture,Series A,2,6,"E-Commerce, Internet, Predictive Analytics, Retail",E-Commerce,13000000000,176,,,1828,10%,435812,75%,servival
stc pay,,200000000,Riyad ,"First licensed fintech company in Kingdom by SAMA, the largest digital wallet in the MEMA, and the first Saudi fintech unicorn startup",2018,11,,Series C,1,1,"Banking, Credit Cards, Debit Cards, Finance, Financial Services, FinTech, Gift Card, Mobile Payments, Transaction Processing",Financial Services,13000000000,376,,,391,66%,519349,-13%,servival
Mozn,30000000,10000000,Riyad ,"Mozn is the market leader in building and deploying bespoke AI solutions in the region, and developing Arabic NLP data products globally.",2017,,Early Stage Venture,Series A,1,4,"Artificial Intelligence, Big Data, Business Intelligence, Machine Learning",Artificial Intelligence,13000000000,176,,,6,24%,678,-85%,servival
penny software,1000000,6350000,Riyad ,Procure to Pay & Spend Management Software,2020,2,Seed,Seed,2,6,"B2B, Data Center Automation, Enterprise Software, Predictive Analytics, Procurement, SaaS, Software",Artificial Intelligence,13000000000,31,,,215,52%,2737,158%,servival
Salla,5500000,8500000,Jeddah,Salla allows users to easily set up an e-commerce store in Arabic through their platform.,2016,2,Early Stage Venture,Series A,2,5,"E-Commerce, Information Technology, Internet, Predictive Analytics",E-Commerce,13000000000,31,954,3,1511,42%,1576995,-58%,servival
Dawul,,5000000,Riyadh ,Dawul is a platform that allows investors to share details of the financial status of their portfolios with other investors.,2020,,Seed,Seed,1,5,"Financial Services, FinTech, Predictive Analytics",Financial Services,13000000000,31,,,1455,47%,1626,407%,servival
PayTabs,5500000,25333333,Sharqiyah,"World's simple and trusted payments since 2014. PayTabs is an award winning, global, B2B online payments Solution Provider.",2014,1,Early Stage Venture,Series B,2,2,"E-Commerce, Financial Services, FinTech, Mobile Payments, Payments",Financial Services,13000000000,76,,,,,,,servival
MANAFA Capital,,1060000,Riyadh ,MANAFA is an investment marketplace for innovative businesses regulated by the Saudi Capital Market Authority,2018,1,Early Stage Venture,Series A,1,2,"Crowdfunding, Financial Services, FinTech, Marketplace, Predictive Analytics",Financial Services,13000000000,6,,,512,21%,10687,9%,servival
BARQ,,4000000,Riyadh ,BARQ is Delivery as a Service (DaaS) startup that enables bullet delivery for any business.,2020,,Seed,Seed,1,4,Logistics,Transportation,18000000000,31,,,121,76%,1485,98%,servival
Lendo,,7198848,Riyadh ,Lendo is a fintech company that offers a peer-to-peer lending platform with core focus towards SMEs debt finance.,2019,2,Early Stage Venture,Series A,2,5,"Finance, Financial Services, FinTech, Predictive Analytics",Financial Services,13000000000,31,,,325,35%,5641,166%,servival
Taffi,,2000000,Jeddah ,Taffi offers on demand personal styling & shopping services.,2020,2,Seed,Seed,2,6,"E-Commerce, Fashion",E-Commerce,13000000000,6,,,0,100%,172,-40%,servival
Syarah,5500000,24000000,Riyadh ,Syarah is an online cars marketplaces.,2015,2,Early Stage Venture,Series B,5,7,"Auto Insurance, Automotive, E-Commerce, Internet, Online Portals, Service Industry",E-Commerce,13000000000,176,,,653,50%,556592,-24%,servival
Cura,5500000,5052268,Riyadh ,"Saudi leading telehealth platform, providing consultations, diagnosis and well-being sessions through instant messaging and live video calls",2016,2,Early Stage Venture,Series A,3,4,"Employee Benefits, Health Care, Health Diagnostics, Home Health Care, Medical, mHealth, Outpatient Care, Personal Health, Wellness",HealthTech,5400000000,31,791,1,,,,,servival
Sabbar,1000000,5600000,Riyadh ,"Sabbar is a niche on-demand staffing platform for gig workers in the retail, hospitality, and entertainment industries in MENA.",2019,3,,Undisclosed,2,6,"Employment, Human Resources, Information Technology, Recruiting, Staffing Agency",Human Resources,49500000000,31,,,232,43%,16467,-2%,servival
Fordeal,750000000,20000000,Riyadh ,Fordeal is an online cross-border lifestyle products shopping platform.,2017,1,Late Stage Venture,Series C,2,2,E-Commerce,E-Commerce,13000000000,76,,,578,66%,567680,-63%,servival
Resal,,3325000,Jeddah ,Resal is leading the prepaid gift card market by offering all in one prepaid gift cards and rewards solutions for individuals and corporate,2016,2,Early Stage Venture,Series A,3,4,"FinTech, Gift Card, Loyalty Programs",Financial services ,13000000000,31,,,715,19%,3843,-48%,exited
HyperPay,5500000,13700000,Riyadh ,"Payment Gateway, PSP, Online Payment, Fintech",2020,1,Early Stage Venture,Series B,3,5,"FinTech, Local, Mobile Payments, Predictive Analytics",FinTech,13000000000,76,,,228,78%,16084,-29%,servival
Grintafy Technologies,1000000,3382119,Jeddah,Grintafy Technologies is operates a talent discovery platform for amateur footballers.,2018,1,Seed,Series A,2,5,"Casual Games, Sports",Media&Entertainment,49500000000,6,,,84,33%,231,-9%,servival
Hakbah,,1199680,Riyadh ,Hakbah is a Fintech startup focusing on an alternative financial saving.,2018,2,Seed,Seed,2,2,"Financial Services, FinTech, Predictive Analytics",Financial Services,13000000000,6,,,17,59%,3431,337%,servival
Gathern,5500000,5866354,Riyadh ,"Gathern is a booking platform of private villas, chalets, rest houses, camps, resorts, farms and other places suitable for gatherings.",2016,2,Early Stage Venture,Series A,3,9,"Customer Service, Hospitality, Online Portals",Travel&Tourism ,18000000000,31,,,460,48%,171147,-46%,servival
Nearpay,,10200000,Riyadh ,"Nearpay is a FinTech company providing payment acceptance solutions to banks, payment providers and startups.",2020,2,Seed,Seed,2,1,"FinTech, Mobile Payments, Predictive Analytics, Software",Financial Services,13000000000,6,,,43,0%,394,,servival
Hala,,7060000,Riyadh ,Hala is a digital financial platform for your payments.,2016,2,Early Stage Venture,Series A,2,3,"Financial Services, Information Technology, Payments, Predictive Analytics",Financial Services,13000000000,176,,,0,100%,1,-100%,servival
UnitX,5500000,2050000,Hail,We automate workplace safety and security using AI,2018,4,Seed,Seed,2,3,"Artificial Intelligence, Computer Vision, Image Recognition, Machine Learning, Wearables",Artificial Intelligence,13000000000,31,,,0,97%,1175,,servival
Omniful,,800000,Riyadh ,Omniful offers a SaaS for brick-and-mortar retailers to prepare and ship online orders directly from the store.,2021,1,Seed,Seed,2,2,"E-Commerce, Predictive Analytics, Retail Technology, SaaS, Software",E-Commerce,13000000000,31,,,803,46%,5374,875%,servival
Salasa,,8600000,Riyadh ,Salasa isa logistics company that offers commerce fulfillment service in the Middle East.,2016,2,Early Stage Venture,Series A,1,3,"E-Commerce, Logistics, Predictive Analytics, Supply Chain Management",Transportation,18000000000,31,,,291,31%,1471,-67%,servival
Quant Data & Analytics,300000000,11200000,Riyadh ,"Quant is a Saudi consultancy which provides Data Science, AI and BI services and SaaS products.",2015,2,Early Stage Venture,Series A,3,3,"Analytics, Artificial Intelligence, Business Intelligence, Data Integration, Data Mining, Data Visualization, Database, Information Technology, Machine Learning, SaaS",Artificial Intelligence,13000000000,31,,,883,58%,13165,776%,servival
Morni,5500000,14700000,Riyadh ,Morni is an interactive platform that provides roadside assistant services.,2014,3,Early Stage Venture,Series B,3,3,"Apps, Mobile Apps, Predictive Analytics, Transportation",Artificial Intelligence,13000000000,31,"3,331",2,0,100%,548,-7%,servival
Rewaa ,,800000,Riyad,"Rewaa is an omnichannel inventory management system and a POS that integrate with marketplaces, shopping carts, and other retail services.",2018,2,Seed,Seed,1,2,"E-Commerce, Electronics, Information Technology, Marketplace, Predictive Analytics, Software, Telecommunications",E-Commerce,13000000000,76,,,584,81%,10971,-31%,servival
Speero,,1799695,Riyadh ,Speero is an automotive spare part market place.,2017,2,Seed,Seed,3,9,"Automotive, Marketplace",E-Commerce,13000000000,31,,,440,56%,61101,-48%,servival
